Description,Title
Exellent prouduct samsung j5-6 new 2016 thanks flipkart & thanks bajaj financeREAD MORE,Worth every penny
Heater phone many issue with the phone.battery draning.READ MORE,Horrible
"I bought it on the day of release. Though I am not much of a Samsung fan of mid range mobiles, but this mobile really deserves compliments. It is really a good buy at Rs 13990.Have used this phone for 4 days and here are my observationsPros:1. Excellent Battery Life: After charging it to 100%, it came to 21% after 48 hours !!! During the entire time my WiFi was on and screen brightness was set around 25%. Watched more than 2 hours of videos as well. The battery typically drops 10% after...READ MORE",Excellent buy at this price
It is a nice phoneREAD MORE,Hello friends
This  is one of the nice budget phone. I am using this phone for a week now. Very nice experience.READ MORE,Nice bike mode
Camera is poor sound is slow but not hanged Ram is good but as given camera 13mp not good when we zoom pics it becomes blur so not according to expectation of samsungREAD MORE,Slightly disappointed
good looking phone......awsm camera front and back.....always love to having samsung mobile..dont think more order for this mobileREAD MORE,samsung j5 2016
Very good product to haveREAD MORE,Tremendous Product
"I have been using this j5-2016for last 6 months..........i am very much satisfied about this phone in all aspects except the HEATING problem,which is quite annoying.SAR radiation value also high 1.14,may be the reason for heating also.Unfortunalately i forgot to check SAR value before buying.I have also used last J5 version ,in display clarity and features this J5-2016 is much better than old J5,but heating problem is a major issue.Thats why i am giving 1star rating because i didnt expect thi...READ MORE",Not recommended at all
"Pathetic speaker volume, it is so low that regonizing your phone ringing is herculian task.READ MORE",Slightly disappointed
"On time delivery - Great !J5 is simply awesome for all its features!Especially the cameras & performance,More worthy of its price.* Heating - Not bad, it is obvious in almost all slim type smart phones.* Sound - Good in earphones than loudspeaker* Screen Mirroring / Miracast - Can't expect, need to buy chromecast device or discover any suitable app or simply connect to TV via USB cable* Battery - Decent battery backup. Never use it while charging or it will reduce the battery perform...READ MORE",Pretty good
Super Amoled Display..2 GB RAM with Latest Android Marshmallow OS only for 13K....its difficult to get Samsung Phone with 2 GB ram in such a low price Range...used for 15 days....Going Smooth....Awesome Earphone Quality.....selfie and back Camera Good.....Battery last for more than a day with Continous usage or will go for two days....Free Microsoft apps and Much More...READ MORE,Brilliant Phone Compared to Money
Good battery backup!READ MORE,Nice product!
Samsung Disappointed me this time.The Great Feeling for using a Samsung Mobile totally faded away. :(No Auto-BrightnessNo Notification LightsFront Camera is also average.Even with 3100 mah of battery the backup sucks.Samsung S3 Neo was far better than this crap J5-6.I wish this feedback could reach to samsung people so that they can realize what a shit they produced @ 14000 INR.READ MORE,Worst Mobile at this Price Range.
Very low batterybacupREAD MORE,Battery back upj5
Shortly very heat.nise phoneREAD MORE,Hated it!
"Purchased on 13th August 2016.Delivery:  Packed well, Delivered on Time. Thanks to Flipkart.Product: While opening battery at 25% and charged 2 hrs to reach 100%. Model looks good.READ MORE",Samsung J5 (2016)
Most successful Phone of Samsung....Stylish Mobile...READ MORE,Amazing Phone
"An excellent product with excellent features at that price .Two sim  slot ,4G, Micro SD slot, super Amoled screen, Android Marshmellow OS upgraded to Android Nougat,  just unparalleled in this category. Lenevo K5 near same feature but there is one dedicated sim slot and another is hybrid, so 2 sim and micro SD, is not possible in Lenevo K5.READ MORE",SAMSUNG Galaxy J5 - 6 (2016)
Absolutely a great product from samsungREAD MORE,A perfect handy phone to say :*
GoodREAD MORE,Nice
Excellent display and user interfaceREAD MORE,Samsung j5 2016
delivery is in time but my phone is heat will data is on plz checkREAD MORE,very good
"The screen should be full HD, not ample. Moto g4 is much better but it's a steal when exchanged. The data saver has saved a lot of money. Battery is good, but speaker sound is lowREAD MORE",Good product except amoled screen
I bought j5 2016 edition 2 days back. It has sober/ sleek appearance. Feather touch. 59% battery remaining after daytime (office time) use of 13 hours. Good quality camera. Hang free (so far). Good download/ browsing speed. Perfect in size not too small to put strain in eye nor too big to feel discomfort in pocket. This is my 2nd SAMSUNG mobile and I am loving it.READ MORE,Very Nice Moibile In This Mid Range.
bad product not workin good and not giving 10% citi card cashback til now.READ MORE,Not recommended at all
samsung is brand..but in this j5 sound quality is not good as compare other samsung mob.READ MORE,nice product
Good product by samsung. & good  service flipkartREAD MORE,Worth every penny
Phone is awesomeREAD MORE,Very good
GoodREAD MORE,Product is good
super mobileREAD MORE,Perfect product!
Delivery timing with ekart is too good..READ MORE,Good choice
"Simply Awesome.....looks and performance....Only Con - sometimes issues with wifi connectivity, rest awesome.READ MORE",Simply Awesome
"Great phone in this price range. Sleek and shiny. Ram could have been better, but OK if you don't plan to play heavy games or use any intense appsREAD MORE",Value for money
Nice Phone...........Excellent battery back-up.............READ MORE,Really Nice
AwesomeREAD MORE,Awesome
Thought buying mobiles through on-line will not be proper.... but was wrong.... sAmsUnG rULes....READ MORE,It was Great... Nice Experience...
NiceREAD MORE,Don't waste your money
Good product but heating problam.other features are very goodREAD MORE,Very good mobile.
best buy some time heat but it was ok fast processer good display but after buy price dropped so disapointment for me that i give twelve hundred extra but over all good phnREAD MORE,Perfect product!
Delivery on time ..... excellent product with good exchange offer....READ MORE,excellent product with good exchange offer
It is very good mobile in this price range. The processor could have been faster.READ MORE,Samsung does it again
new look i like this mobile phone for thanks flipkart.READ MORE,Good Serves
Exacted photo for i seen best rate for middle class family people'sREAD MORE,samsung phone
When i m using my phone for 10 to 15 minutes then its getting overheat. I feel very uncomfortable. So i need to replace or return this product.READ MORE,phone getting overheat.
Average phone other better option available in same price.Also heating high when use internet.READ MORE,Not recommended at all
"After researching for almost 2months finally again I went for Samsung J5 series, the same time other Chinese brand were giving more features under 12k but instead of wasting money on Chinese brand I choose samsung second time in my life. This was my second Samsung galaxy j5. I will suggest all of you to just go for it without thinking so much.READ MORE",Best Phone Under 15k
Great mobile with great features Faster delivery by flipkart thank uREAD MORE,Great product
"This Is Really Nice Mobile. Design,View Very Nice.READ MORE",Really Awesome
This is the best assistance that I have ever achieved from Flipkart customer's support.READ MORE,Good and looking very cool. User friendly.
"It's a wonderful mobile to buy, user friendly , very good camara, performance is also very good. One and only one problem is laud speaker volume is low. Awesome display. Music lovers will disappoint with that. Should have also been given good hear phones. Over all its worth for the money.READ MORE",Right mobile to buy for the money.
was having good experience untill recently when one day certainly the battrey heated and swallowen damaging the back cover....samsung denied replacement of battrey nor they have it....battery is not even available on flipcart....pathetic experuence and waste of money just because this was exclusive flipcart only  product and now the battrey is not available....forget about other parts....its like a use and throw product....i will have to throw ut unless flipcart shows some sensitivity and pri...READ MORE,Waste of money!
Absolutely no words. Worth every penny. Thanks flipkart for a wonderful deal too!!READ MORE,Fantastic!!
Super mobile from Samsung at this price rangeREAD MORE,Excellent mobile
"Good budget phone. Nice touch,battery,camera . Till now not faced any heating issue like othersREAD MORE",Worth it
As always it's hangs....its battery also heats much...Don't buy Samsung...everREAD MORE,Don't waste your money
"Everything is good except low speaker sound, data cable length and headphone quality.Speaker sound is very low and you have to use headphone most of times.Data cable is only 2 feet long, so i bought an additional cable from market.Headphone is of poor quality, it is different than which you get in S and A series.READ MORE",Good
"Very good phone,infact after watching 9/10 negative comments i was thinking not to order,but then i took decision to order it,it has very good battery life and superb cameraREAD MORE",Highly recommended
I bought this product. Very awesome phone very good phone camera and sound quality is too good.dont go any opinion and can buy it.READ MORE,Really Nice
Very goodREAD MORE,Very nice serviec
GoodREAD MORE,Good
This phone has no hanging problem. New Android os is so cool. But one problem is that it has no gorilla glass.READ MORE,My best experience with this phone
"Metallic design, light weight and handy phone.Kept in charge and lightly heated, update of Galaxy apps stops at 75%, seems it is a bug and waiting to fix it. Also Galaxy themes were not able to downloadVideos played in HD was awesome and did not hang.Fully charged from 45% (when inserted at first time) in 1.5 hrs.READ MORE",Samsung J5 first impression
Very good mobile phone in this price categoryREAD MORE,Good Mobile phone in price renge
All over good phone... Only front cam not satisfied.READ MORE,Good phone
Thanku flipkart for this kind of service. Phone delivered in less than 16 hours from booking. Very nice phone. Recommend all to buy this.READ MORE,Great Phone.... Great Service
Looking like iPhone.READ MORE,Superb Phone....
"To fast overheating while charging, calling, or doing any workREAD MORE",Unsatisfactory
Samsung Galaxy J5 2016 Is a modified version of galaxy j5 launched in 2015.I am using this mobile since last 2 weeks.Here I am listing d pros and Cons of this phonePros:1.Display quality is very good.2.Touch is very much responsive.(It is also having S Bike mode which is brilliant)3.I got above 10 GB as internal memory which helps phone to run smooth.4.Camera performance is quite good.5.Samsung quick pay is very much helpful.(It's based on Knox )6.Flash is given with front camera.7.Y...READ MORE,Just wow!
Camera is average but phone is awosome over all goodREAD MORE,Worth every penny
Good mobileREAD MORE,Simply awesome
Good one from a branded flagship smartphone company. Not great specs but pretty decent.READ MORE,Decent smartphone
This is an amazing product at an affordable price with super AMOLED HD..READ MORE,affordable price
Good working speed.. no hanging problem. Graphics and screen is very good. Videos and photos look very good. Rear Camera is superb. But One thing that front camera is even more better in the J2 galaxy model. Btw phone is satisfactory in its price range.READ MORE,Awesome performance
very gd phone happy to using it thanks flipkart am little disappointed with delivery status of urs coz its not matching with ur expected date but hmm overall its gd enough ..i think evryone should take this its rear camera is just amazing n touch is also smooth like to have it :) i feel proud to have j series cell phone tq :) hope for good services from flipkart in future too  by vinay jethiREAD MORE,looks in reasonable price
Nice phone no any problem in last 4 months i have use j5 2016READ MORE,Great
Very nice deviceREAD MORE,Good quality product
Bad quality of display.Heating issue.Poor processor quality.Getting slow on gaming.Horried product.READ MORE,Bad quality product and waste of money and time.
"Design and looks are good but it lacks in Performance. It lags, slow down while operating, takes a while to install any app. Last but not the least Sound is very very low in both headset and speaker.READ MORE",Expected a better product
Mobile continuesly hang and heatingREAD MORE,Hated it!
Product is superb but ekart Services is  not goodREAD MORE,Highly recommended
don't regret I'd you buy this product good batter life with no heating problem at allREAD MORE,Must buy!
So far so good .....was a little sceptical about the product but it's doing good.battery easily lasts for a day.little bigger in screen size to my liking but no problem as such....it's good can rely on itREAD MORE,Brilliant
Battery is good .. no heating.. camera is pakka.. crystal clear.  buy a tempered glass as the screen is britle if fallenREAD MORE,Awesome phone
EVERYTHING IS GOOD BUT MY PHONE WILL BE HEATING ONLY USES OF 20 MINUTES.READ MORE,Samsung J5-6
Excellent productREAD MORE,Terrific purchase
Nice lookREAD MORE,gud phon
I am very much satisfied with this product and  the flipkart along with the delivery man also.READ MORE,Terrific
Very good mobile at this priceREAD MORE,Brilliant
mobile quality is very good ............READ MORE,Nice product
Nice packing and before time delivery and good quality and genuine  product..READ MORE,Brilliant
Pros:Screen RAM leading to multiple application handlingGreat BatteryAll the latest featuresCons:NoneOverall: At this price point I don't think there is any other better product available.Gives all the features and comes with a brand name at decent priceThis is the one to go forREAD MORE,Mind Blowing..
Budget phoneREAD MORE,Nice phone
GOOD BATTARY BACKUP AND GOOD CAMERA.DISPLAY IS ALSO NICE.READ MORE,GOOD PRODUCT...
"Good Battery, display, look. Overall must Buy phoneREAD MORE",Great Buy
I bought Samsung Galaxy J5 (2016) but there is no S bike mode Nfc sticker in the boxREAD MORE,NFC sticker was not in the box
Great looks and best phone for an average userREAD MORE,complete package
this phone was awesomeREAD MORE,awesome
"Pros:Great battery, beautiful display, super speedCons: camera is not up to the mark otherwise it a good phoneREAD MORE",Fantastic phone
Phone is value for money with a perfect camera n displayREAD MORE,Great phone
Waiting to buy on flipkart.. hope worthable price on this configuration. Get back with reviews once I use ...READ MORE,Best mobile on smart price
"Amazing produuct,value for moneyREAD MORE",samsung j5-6
Super smooth 2 use...READ MORE,Amazing....
I brought Samsung galaxy J5-2016.. It's simply super cameras are awesome... Really its very nice to handle..READ MORE,vry nice
"Hats off to Samsung and flipkart for providing such a beautiful phone at an affordable price. First of all SAmoled display is awesome. Size, battery,display, camera,memory are pros in this phone.READ MORE",Best phone
"What a great phone to use,  marvelous experience,  loving it.....READ MORE",Awesome phone.
In this Price point this the one of the best phoneREAD MORE,Samsung j510f
grtREAD MORE,grt
FantasticREAD MORE,Superb phone
It's a good phone....READ MORE,Nice
Excellent deviceREAD MORE,well service
"After 1 week of use completely satisfied with the phone. Briefly to tell u that this is my sixth phone and being a family of 8 we have used all possible phones from samsung S6,S5, S4, nokia, iphone, lenovo, Asus, one+ and many more.And have to say that : 1. Must Have purchased at least 25-30 different electronics from Flipkart and never have they dissapointed. Absoltuelty the best place to go for anything and everything2. Superb phone after losing / spoling 5 phones thought of taking a mid...READ MORE","A real Wow phone, excellent deal by flipkart."
I thing if it gets for 10k den absolutely fantastic mobileREAD MORE,Delightful
very nice product and fast deliveryREAD MORE,Excellent
"Gud phone  ...look is vry nic ..batry,display,proformace also good ..READ MORE",Must buy!
"Very good phone with attractive finish,value for money product,go for itREAD MORE",Simply awesome
I recently bought this phone all things in this phone is goid battery is perfect nice phoneREAD MORE,Just wow!
Nice phone.READ MORE,Highly recommended
Amazing serviceREAD MORE,Must buy!
Phone is perfect and amazing in high calls and what's app and email usage. I am not only happy..but want my friends to use this phone specially. It's zero hanging since 2 months now. Just perfect I'n high mail flow too.You should just go ahead and buy it coz I' this range no rival brand infact not even Samsung will give you perfection. It's just ultimate in multi window tasking and social sites like Facebook Instagram Snapchat Twitter it works really wow and fast. Best thing is the mails of ...READ MORE,Excellent smartphone in the range
Best product recived from flipkart on time delivery as well genuine product @best priceREAD MORE,Best product at reasonable price
I like Flipkart commitment for their promise to deliver a product in a time. and I would like to congratulate WS retail for their improvement in shipping in timeREAD MORE,Good One
"Before buying in many sites I have got the review that this phone has heating issue.Using this phone for around a week. No heating issue at all.Pros-Good battery backup 1.5 day (after playing games + music + internet 24x7)Samsung camera is always goodHas a new feature named - ""Wide Selfie""Superb finishingCons-Speaker is on back sideREAD MORE",Good Phone
Very Nice Mobile - Go for it.READ MORE,Classy product
Good productREAD MORE,Terrific purchase
goodREAD MORE,best service for customer
Great mobile Smooth operating Nice LookREAD MORE,Now Thats I Call Samsung Mobile
No doubt ! its  very  good mobile ...no hanging.no battery  loss.good ram power too speed .no ads data loss. New features inside and all is good performanceREAD MORE,Cool mobile for all hands
"If i compare to j7 which is class in performace, it lags a bit , camera of both j7 and j5 is 13mp but quality doesn't match.Rest everything is fine,looks are classy, battery backup is great.Size is perfect neither too big  nor too small , but for this price u can get a better product (after 1 month review )READ MORE",Lag
camera quality is very bad. That wastes money . While buying samsung mobile buy others product that gives you eveything. Example buy xiaomi redmi note 3 is good mobile and in perfect priceREAD MORE,about samsung j5-6
"I take my j5 6 from flipkart on 16/07/16. every thing fine looking, touch, colour, best is display. But only worst is CAMERA, 13MP CAM working WORST THAN MY 8MP MOTO G 2ND camera. Detailing is worst even no face recognition. I don't konw its a manufacture defect or not, very warry....READ MORE",sam j5 16 my camera take worst picture
Battery back up maximum 6 hoursREAD MORE,Bad reviews
Very poor battery and getting heated as wellREAD MORE,Did not meet expectations
perfectREAD MORE,Must buy!
"Good phone for basic light users with awesome battery backup. Feels premium for the price . On the contrary, lacks some basic sensors. So,as I said, only for basic users. Power users, please stay away.READ MORE",Really Nice
Bought it six months back amazing to use n perfect in such price zone samsung has made updates in phone that makes it fast and these are the things u look for in mobileREAD MORE,Best buy
Low Battery backupNo screen protection. Screen damaged with a light blowREAD MORE,Worthless
Very good phoneREAD MORE,Perfect product!
AwsmREAD MORE,Must buy!
good size and nice battery backup  no heating  friendlyREAD MORE,Awseome phone
Amazing smartphone with super AMOLED 5.2 inch display where every images and videos become more vivid and bright. Amazing camera with better LED flash than other J-series smartphones. It's 2GB of ram makes the performance smoother. All over it's a great smartphone with 3100mah of battery which gives over 4hours of continuous batterylife.READ MORE,Best in the market!
As usual speaker sound very lowREAD MORE,Decent product
Very good productREAD MORE,Terrible product
"Excellent  mobile,READ MORE",Super!
Excellent flipkart...and nice phone...features is so...good but any other phone...READ MORE,Delightful
Good product . Brand new phone ...works fine. Buy @10490 Rs gr8  offer price . Here in Sivasagar ;Assam it is sold  @13000 Rs at stores..READ MORE,Perfect product!
It's work good. But I think there is some heating problem.READ MORE,Very Good
Heating and hanging problems in this phoneREAD MORE,heat hang
not satisfied with the product its too much heating .READ MORE,v disappointing v bad experiance
Gaming experience is poor  and heating a lot  otherwise fon is good. I had a Samsung Galaxy on5  in 1.5gb Ram variant before it but that never heated up and the gaming experience was better than Samsung Galaxy J5.READ MORE,Start heating in 5  minutes
Nice phone & Good configurationREAD MORE,Unsatisfactory
THE CPU BECOME VERY HOT WHEN USING 4G MOBILE DATAREAD MORE,FAULT IN CPU
Flipkart delivred defeted piece . I have recieved defected piece . Camera is not proper working . Flipkart not exchange this piece . They totaly denied for exchange. My rupees 11000 waste .READ MORE,Don't waste your money
ExcellentREAD MORE,Nice product
Awesome mob.READ MORE,love it
Good phone.. i am using this since september 2016 workinh fine... although hangs for once or twice till now... but seems ok... go for it... My input to provide few more sensor fumctionalityREAD MORE,Pretty good
Best phone....awsome display....READ MORE,Simply awesome
"Product is good. Am writing this review because of packing. Always flipkart packing was excellent. But now a days, packing was not good. Inner carten was not taped well. Mobile already separated from carten in transport. Luckily no damage. I hope flipkart will take care of it next time.READ MORE",Delightful
best mobile as I see in reviews before order it. But heating issue is there in my mobile. In three days I got the mobile. Good job good service.  I recommend to all to purchase it. Only heating issue in it after usage of continuous 1 to 2 hrs. Battery  backup  is too good. Thanks Samsung thanks flipkart.READ MORE,Highly recommended
Golden colour is more beautifulProduct is awesomeREAD MORE,Good choice
Good SmartphoneREAD MORE,Just wow!
Battery not goodREAD MORE,Nice
Nice product awesome price at flipkart ... happy to shop.... compare to other site buy hereREAD MORE,Excellent
NycREAD MORE,Best in the market!
bestest shipmentREAD MORE,Brilliant
Only saying that very  nice phone and great lookingREAD MORE,Fabulous!
It is awesome phone..never hangs..i am using this from past 6 months but it never hangs...battery backup is very good..it holds full day  ..if once charge ...READ MORE,Worth every penny
GreatREAD MORE,Must buy!
Product is good. But flipkart didnt deliver at the address mentioned.READ MORE,Need to reachout to villages.
very gud mobileREAD MORE,Simply awesome
"Overall the product is good, but the purpose I chose for online shopping could not be achieved as it killed my almost one full day time. Initially, the seller supplied faulty product in which speaker was not functioning at all. When I reported this matter to Flipkart personnel, they started supervising through telephone, every time saying a different story - updating android, blocking applications, factory resetting, etc. And, it really killed my one day time. At last, the Flipkart scheduled ...READ MORE","Product is ok, but be careful about online sellers"
Good looking phone. No heating issues while charging or talking on phone. 2 GB RAM sufficient for normal usage. Biggest disappointment is battery life. Hardly comes for a day. Camera is decent. Speaker quality is poor. Display is crisp. Sound quality is good in ear phones. But for this price better configuration phones are available in the market.READ MORE,Good Phone..
Very great performanceREAD MORE,Great product
Good phoneREAD MORE,Must buy!
Good phoneREAD MORE,Fabulous!
Good qualityREAD MORE,Worst experience ever!
So goodREAD MORE,Perfect product!
Very niceREAD MORE,I LIKE J5(2016)
HappyREAD MORE,Not recommended at all
"I know this will not create any impact but this mobile has decent specs with strong battery with uniqiue flagship size 5.2"" mobile but the build quality is not upto the mock. It has proper Dual-SIM facility with dedicated MMC slot no Hybrid concepts which will made me to purchse this model and it has a good battery of 3000 MAh removable battery which easily replaced the users. So, as per my conclusion for careful users who uses pouch or cases they can withstand with this mobile otherwise it ...READ MORE",Patchy mobile on the budjet from Samsung
I'll purchase this phone on 6th of Jan 2017 but after few days itz start hanging itz a worst phone.....READ MORE,Moderate
Very...... Super ramREAD MORE,Don't waste your money
Very good itemREAD MORE,Perfect product!
"So far so good, @ 10990, Decent Battery Back up,Good Display, got super amoled, Decent Camera, Dual 4g,  decent and practical enough for day to day work and activities , liked the ultra battery saving mode just makes sure work is done giving back up time for emergency work, One suggestion as per my experience, its no use buying high end ph with full hd display, high tech processor, smartphones are  power hungry, at the end all you need is battery back up, and its no use buying high end phones...READ MORE",Good one..
Great phone and surely trust on samsung and flipkartREAD MORE,Worth every penny
All Samsung phones still have that laggy operating system. If you want speed never buy samsung.READ MORE,Nice
Super phoneREAD MORE,Pretty good
It's great...READ MORE,Simply awesome
Awosm phone under this price.good feature.screen.sound.samiled.go for it.READ MORE,Just wow!
Worst Battery BackupREAD MORE,Worst Battery Backup
Super. .............READ MORE,Perfect product!
Really a good phone.awesome battery backup.Superbre solution.otg compatiable.worth buying.READ MORE,Delightful
"Pors 1.very good battery life2. touchwizz version is smooth 3. no hangs or stuttering 4. colours are punchy and blacks are deep 5. screen size is ideal not too big or too small cons1. camera is not as good as seen in many reviews in interiors it produce soft and pathetic images . front cam is also not good , things improve a bit by using openshot cam .2. speakerphone sound is low 3. no fingerprint scanner4. only 16gb internal memory 5. looks ordinary just like any other samsung ...READ MORE",Fair
NiceREAD MORE,Pretty good
"It's nice phone in this range and easy to carry light weight, camera quality is also Good... Go for it.....!!!READ MORE",Fabulous!
coolREAD MORE,cool
This phone is coolREAD MORE,Delightful
It's good quality productREAD MORE,Simply awesome
Good product. I satisfiedREAD MORE,Just wow!
AwesomeREAD MORE,Just wow!
All ok...except battery...READ MORE,Nice
Phone runs smooth. But have some heating effect.READ MORE,Decent product
Nice moblieREAD MORE,Value-for-money
"Good phone but back speaker is major issue, you cant hear ringing volume while you put mobile on table, speakers should be bottom side.16 gb internal good with 2 gb ram.Battery backup average for a day if you are normal user.Camera quality is excellent with 13mp.READ MORE",Pretty good
"I bought galaxy j5 2016 edition in October,Good handy phone with good camera , No hanging , fast access . Good phone to buy.READ MORE",Wonderful
Samsung j5 is very good smart phone. It is nice and working fineREAD MORE,Just wow!
"Pros: phone is best in class with good features and battery are best UpTo 2 days, performance is hassle-free.I am using this phone along 2 months and really no problem at allBest buyREAD MORE",Brilliant
Awsm phnREAD MORE,Value-for-money
Good phoneREAD MORE,Worth every penny
Best mobile ....of the year.....i think ever..READ MORE,Terrific purchase
Camera excellent slim and sexyREAD MORE,Worth the money
and no fringprintREAD MORE,best but heating problem
"Allperformance is good except camera performance in dark night,with flash also it can't make good pictures. after all in daylight it's best one.And all features of mobile are good good battery backup best display best handling and no heating problem no hanging.just go for it it's worth for money as compare to other bcoz it's after sale support and pan india avalability of service point.Finally thanks Flipkart for faster and smooth delivery.READ MORE",Very Good
Nice product....should buyREAD MORE,Just wow!
Nice product Battery Screen Look AwesomeREAD MORE,Very Good
Good mobileREAD MORE,Wonderful
SupparREAD MORE,Just wow!
Samsung is samsung.....READ MORE,Terrific purchase
Good condition i love thisREAD MORE,Delightful
Good mobile with good features.☺READ MORE,Faced minor issues
good display and perfomance but camera pictures came as bluer and realy not fine it is 13 mp we expect some fine picturesbut in you cam perfect it will give best picturesany one know to take good pictures in company camera.READ MORE,best camera and display.
J5 is awesomely made thanks to Samsung and FlipkartREAD MORE,Perfect product!
Best in this rangeREAD MORE,Mind-blowing purchase
Samsung j5 (2016) mobile is very good product ......READ MORE,Good but nothing fancy
So nice fonREAD MORE,Brilliant
Good product..READ MORE,Mind-blowing purchase
"Display pixel is low..otherwise it is good device....Frm Anupam Nath,Dhubri,AssamREAD MORE",Wonderful
